訂單編號,產品料號,目標數量,最早開始時間,交期,優先度,orderBomKey,已逾期天數
000001708080-7_0_1,ZNM1172122M,10,2022/3/17 06:54,2022/4/16 00:00,1,FML0061011ML01EDIAM_20220730_2_MML0061101,29.7125
000001708080-8_0_0,ZNM1172122M,10,2022/3/18 06:54,2022/4/17 00:00,1,FML0063011ML01EDIAM_20220730_2_MML0061101,29.7125
000001707607-2_0_0,ZKB1335125M,6,2022/1/18 06:58,2022/2/17 00:00,4,FJA0224014JA03EDIAM_20220604_2_MJA0224401,29.70972222
000001706437-4_0_1,ZHN1109122M,8,2022/2/24 07:27,2022/3/26 00:00,4,FGM0098013HJ04EDIA6_20220702_2_MGM0098101,29.68958333
000001707052-4_0_0,ZQI1211122M,7,2022/1/17 07:29,2022/2/16 00:00,4,FPH0118011PO01EDIAQ_20220604_2_MPH0100101,29.68819444
000001707052-6_0_0,ZQI1211122M,7,2022/1/24 07:29,2022/2/23 00:00,4,FPH0102011PO01EDIAQ_20220611_2_MPH0100101,29.68819444
000001707053-3_0_4,ZQI1211122M,7,2022/1/24 07:29,2022/2/23 00:00,4,FPH0114011PO01EDIAQ_20220611_2_MPH0100101,29.68819444
000001707606-3_0_0,ZGS1163123M,8,2022/2/4 07:49,2022/3/6 00:00,3,FFR0060012FR01EDISA_20220319_2_MFR0052201,29.67430556
000001686830-1_0_0,ZUE1152122M,7,2022/3/31 08:30,2022/4/30 00:00,1,FTD0041011CF01SAISA_20220514_2_MTD0041101,29.64583333
000001686831-1_0_0,ZUE1152122M,7,2022/4/4 08:30,2022/5/4 00:00,1,FTD0041011CF01FORSA_20220521_2_MTD0041101,29.64583333
000001686832-1_0_1,ZUE1152122M,7,2022/4/26 08:30,2022/5/26 00:00,1,FTD0041011CF01FORSA_20220611_2_MTD0041101,29.64583333
000001665430-4_0_0,ZGS1174122M,9,2022/2/11 08:35,2022/3/13 00:00,4,FFR0063011FR01EDISA_20220326_2_MFR0063102,29.64236111
000001665431-2_0_0,ZGS1174122M,9,2022/2/11 08:35,2022/3/13 00:00,4,FFR0063011FR01EDISA_20220326_2_MFR0063102,29.64236111
000001710777-1_0_3,ZQI1212122M,8,2022/1/16 08:44,2022/2/15 00:00,4,FPH0115011PO01EDIAQ_20220604_2_MPH0101101,29.63611111
000001710777-4_0_0,ZQI1212122M,8,2022/1/17 08:44,2022/2/16 00:00,4,FPH0119011PO01EDIAQ_20220604_2_MPH0101101,29.63611111
000001706422-1_0_0,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706422-1_0_1,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706422-1_0_2,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706422-2_0_0,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706422-2_0_1,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706422-2_0_2,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706422-2_0_3,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706423-1_0_0,ZHN1106122M,10,2022/1/18 08:49,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.63263889
000001706423-2_0_0,ZHN1106122M,10,2022/1/28 08:49,2022/2/27 00:00,4,FGM0095013HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001706423-2_0_1,ZHN1106122M,10,2022/1/28 08:49,2022/2/27 00:00,4,FGM0095013HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001706423-2_0_2,ZHN1106122M,10,2022/1/28 08:49,2022/2/27 00:00,4,FGM0095013HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001706423-2_0_3,ZHN1106122M,10,2022/1/28 08:49,2022/2/27 00:00,4,FGM0095013HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001706423-4_0_0,ZHN1106122M,10,2022/1/26 08:49,2022/2/25 00:00,4,FGM0097011HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001706423-5_0_0,ZHN1106122M,10,2022/1/26 08:49,2022/2/25 00:00,4,FGM0097011HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001706423-5_0_1,ZHN1106122M,10,2022/1/26 08:49,2022/2/25 00:00,4,FGM0097011HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001711216-3_0_0,ZHN1106122M,10,2022/1/26 08:49,2022/2/25 00:00,4,FGM0097011HJ04EDIA6_20220604_2_MGM0095101,29.63263889
000001708159-2_0_0,ZHN1105122M,10,2022/1/20 08:57,2022/2/19 00:00,4,FGM0094013HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708159-2_0_1,ZHN1105122M,10,2022/1/20 08:57,2022/2/19 00:00,4,FGM0094013HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708159-2_0_2,ZHN1105122M,10,2022/1/20 08:57,2022/2/19 00:00,4,FGM0094013HJ04EDIA6_20220528_2_MGM0094101,29.62708333
000001708159-2_0_3,ZHN1105122M,10,2022/1/20 08:57,2022/2/19 00:00,4,FGM0094013HJ04EDIA6_20220528_2_MGM0094101,29.62708333
